episode,reward,steps,success,epsilon,invalid_moves
54,-273,122,1,0.7628626641409962,28
55,-479,148,1,0.7590483508202912,48
56,-687,200,0,0.7552531090661897,52
57,-39,50,1,0.7514768435208588,10
58,-403,135,1,0.7477194593032545,41
59,-255,131,1,0.7439808620067382,25
60,-119,94,1,0.7402609576967045,14
61,-91,75,1,0.736559652908221,13
62,-750,200,0,0.7328768546436799,59
63,-47,85,1,0.7292124703704616,7
64,-351,164,1,0.7255664080186093,32
65,-171,65,1,0.7219385759785162,23
66,-321,125,1,0.7183288830986236,33
67,-131,88,1,0.7147372386831305,16
68,-177,89,1,0.7111635524897149,21
69,-209,76,1,0.7076077347272662,26
70,-151,81,1,0.7040696960536299,19
71,-113,70,1,0.7005493475733617,16
72,11,36,1,0.697046600835495,6
73,-353,166,1,0.6935613678313175,32
74,-361,138,1,0.6900935609921609,36
75,-137,67,1,0.6866430931872001,19
76,-35,46,1,0.6832098777212641,10
77,-105,53,1,0.6797938283326578,17
78,-77,79,1,0.6763948591909945,11
79,-5,52,1,0.6730128848950395,6
80,-25,45,1,0.6696478204705644,9
81,43,31,1,0.6662995813682115,3
82,-45,56,1,0.6629680834613705,10
83,-137,94,1,0.6596532430440636,16
84,-79,72,1,0.6563549768288433,12
85,-67,60,1,0.653073201944699,12
86,-71,73,1,0.6498078359349755,11
87,-311,97,1,0.6465587967553006,35
88,-53,55,1,0.6433260027715241,11
89,-209,103,1,0.6401093727576664,23
90,-253,102,1,0.6369088258938781,28
91,41,33,1,0.6337242817644086,3
92,-213,80,1,0.6305556603555866,26
93,9,38,1,0.6274028820538087,6
94,-83,67,1,0.6242658676435396,13
95,-47,67,1,0.6211445383053219,9
96,49,34,1,0.6180388156137953,2
97,-9,56,1,0.6149486215357263,6
98,49,25,1,0.6118738784280476,3
99,33,32,1,0.6088145090359074,4
100,33,41,1,0.6057704364907278,3
101,49,25,1,0.6027415843082742,3
102,-51,53,1,0.5997278763867329,11
103,-23,52,1,0.5967292370047992,8
104,-11,49,1,0.5937455908197752,7
105,-109,75,1,0.5907768628656763,15
106,-11,67,1,0.5878229785513479,5
107,21,44,1,0.5848838636585911,4
108,-227,112,1,0.5819594443402982,24
109,-35,73,1,0.5790496471185967,7
110,47,27,1,0.5761543988830038,3
111,3,44,1,0.5732736268885887,6
112,17,39,1,0.5704072587541458,5
113,-17,55,1,0.567555222460375,7
114,-123,89,1,0.5647174463480732,15
115,-3,41,1,0.5618938591163328,7
116,15,41,1,0.5590843898207511,5
117,-49,51,1,0.5562889678716474,11
118,-33,44,1,0.5535075230322891,10
119,-117,74,1,0.5507399854171277,16
120,-59,52,1,0.547986285490042,12
121,47,27,1,0.5452463540625918,3
122,-3,50,1,0.5425201222922789,6
123,-23,43,1,0.5398075216808175,9
124,29,27,1,0.5371084840724134,5
125,-65,58,1,0.5344229416520513,12
126,29,27,1,0.531750826943791,5
127,-61,45,1,0.5290920728090721,13
128,-15,35,1,0.5264466124450268,9
129,25,40,1,0.5238143793828016,4
130,-95,61,1,0.5211953074858876,15
131,49,25,1,0.5185893309484582,3
132,31,34,1,0.5159963842937159,4
133,3,44,1,0.5134164023722473,6
134,27,38,1,0.510849320360386,4
135,-19,48,1,0.5082950737585841,8
136,57,26,1,0.5057535983897912,2
137,15,41,1,0.5032248303978422,5
138,-5,52,1,0.500708706245853,6
139,-81,74,1,0.4982051627146237,12
140,17,30,1,0.49571413690105054,6
141,-5,52,1,0.4932355662165453,6
142,-43,54,1,0.4907693883854626,10
143,45,29,1,0.4883155414435353,3
144,-21,59,1,0.4858739637363176,7
145,53,30,1,0.483444593917636,2
146,29,27,1,0.4810273709480478,5
147,27,29,1,0.47862223409330756,5
148,-7,45,1,0.47622912292284103,7
149,17,30,1,0.4738479773082268,6
150,39,26,1,0.47147873742168567,4
151,-5,43,1,0.46912134373457726,7
152,29,36,1,0.46677573701590436,4
153,45,29,1,0.46444185833082485,3
154,77,24,1,0.46211964903917074,0
155,21,35,1,0.4598090507939749,5
156,-7,36,1,0.457510005540005,8
157,35,30,1,0.45522245551230495,4
158,15,32,1,0.4529463432347434,6
159,57,26,1,0.4506816115185697,2
160,27,38,1,0.4484282034609769,4
161,27,29,1,0.446186062443672,5
162,59,33,1,0.4439551321314536,1
