episode,reward,steps,success,epsilon,invalid_moves
61,-165,77,1,0.736559652908221,21
62,-95,70,1,0.7328768546436799,14
63,9,38,1,0.7292124703704616,6
64,-547,150,0,0.7255664080186093,42
65,7,40,1,0.7219385759785162,6
66,-556,150,0,0.7183288830986236,43
67,-469,138,1,0.7147372386831305,48
68,-131,79,1,0.7111635524897149,17
69,55,19,1,0.7076077347272662,3
70,31,25,1,0.7040696960536299,5
71,-127,75,1,0.7005493475733617,17
72,-27,47,1,0.697046600835495,9
73,-137,58,1,0.6935613678313175,20
74,-17,46,1,0.6900935609921609,8
75,11,45,1,0.6866430931872001,5
76,-83,58,1,0.6832098777212641,14
77,41,24,1,0.6797938283326578,4
78,1,37,1,0.6763948591909945,7
79,35,39,1,0.6730128848950395,3
80,35,30,1,0.6696478204705644,4
81,15,32,1,0.6662995813682115,6
82,55,28,1,0.6629680834613705,2
83,-467,151,0,0.6596532430440636,33
84,-117,56,1,0.6563549768288433,18
85,-502,150,0,0.653073201944699,37
86,35,30,1,0.6498078359349755,4
87,-53,73,1,0.6465587967553006,9
88,13,43,1,0.6433260027715241,5
89,1,37,1,0.6401093727576664,7
90,31,34,1,0.6369088258938781,4
91,-73,57,1,0.6337242817644086,13
92,35,39,1,0.6305556603555866,3
93,-57,41,1,0.6274028820538087,13
94,5,33,1,0.6242658676435396,7
95,19,37,1,0.6211445383053219,5
96,31,25,1,0.6180388156137953,5
97,45,20,1,0.6149486215357263,4
98,-249,143,1,0.6118738784280476,23
99,-7,27,1,0.6088145090359074,9
100,-33,53,1,0.6057704364907278,9
101,45,29,1,0.6027415843082742,3
102,37,37,1,0.5997278763867329,3
103,37,28,1,0.5967292370047992,4
104,55,19,1,0.5937455908197752,3
105,65,18,1,0.5907768628656763,2
106,15,41,1,0.5878229785513479,5
107,43,22,1,0.5848838636585911,4
108,59,24,1,0.5819594443402982,2
109,41,24,1,0.5790496471185967,4
110,9,38,1,0.5761543988830038,6
111,-3,59,1,0.5732736268885887,5
112,-23,43,1,0.5704072587541458,9
113,17,39,1,0.567555222460375,5
114,-101,85,1,0.5647174463480732,13
115,37,19,1,0.5618938591163328,5
116,21,35,1,0.5590843898207511,5
117,37,37,1,0.5562889678716474,3
118,47,27,1,0.5535075230322891,3
119,55,19,1,0.5507399854171277,3
120,63,29,1,0.547986285490042,1
121,51,23,1,0.5452463540625918,3
122,33,23,1,0.5425201222922789,5
123,7,31,1,0.5398075216808175,7
124,69,23,1,0.5371084840724134,1
125,65,27,1,0.5344229416520513,1
126,33,23,1,0.531750826943791,5
127,13,34,1,0.5290920728090721,6
128,43,22,1,0.5264466124450268,4
129,51,23,1,0.5238143793828016,3
130,63,20,1,0.5211953074858876,2
131,45,29,1,0.5185893309484582,3
132,57,26,1,0.5159963842937159,2
133,-155,94,1,0.5134164023722473,18
134,51,23,1,0.510849320360386,3
135,-19,39,1,0.5082950737585841,9
136,69,23,1,0.5057535983897912,1
137,73,19,1,0.5032248303978422,1
138,29,27,1,0.500708706245853,5
139,69,23,1,0.4982051627146237,1
140,83,18,1,0.49571413690105054,0
141,55,19,1,0.4932355662165453,3
142,33,32,1,0.4907693883854626,4
143,39,26,1,0.4883155414435353,4
144,23,33,1,0.4858739637363176,5
145,49,25,1,0.483444593917636,3
146,77,15,1,0.4810273709480478,1
147,45,29,1,0.47862223409330756,3
148,53,21,1,0.47622912292284103,3
149,9,38,1,0.4738479773082268,6
150,73,28,1,0.47147873742168567,0
151,75,17,1,0.46912134373457726,1
152,13,25,1,0.46677573701590436,7
153,53,21,1,0.46444185833082485,3
154,39,26,1,0.46211964903917074,4
155,83,18,1,0.4598090507939749,0
156,53,21,1,0.457510005540005,3
157,43,31,1,0.45522245551230495,3
158,65,18,1,0.4529463432347434,2
159,5,33,1,0.4506816115185697,7
160,35,21,1,0.4484282034609769,5
161,39,26,1,0.446186062443672,4
162,47,27,1,0.4439551321314536,3
163,35,21,1,0.4417353564707963,5
164,55,28,1,0.43952667968844233,2
