episode,reward,steps,success,epsilon,invalid_moves
131,69,23,1,0.5185893309484582,1
132,31,25,1,0.5159963842937159,5
133,11,27,1,0.5134164023722473,7
134,47,18,1,0.510849320360386,4
135,21,26,1,0.5082950737585841,6
136,81,11,1,0.5057535983897912,1
137,7,31,1,0.5032248303978422,7
138,1,37,1,0.500708706245853,7
139,-27,38,1,0.4982051627146237,10
140,13,25,1,0.49571413690105054,7
141,13,25,1,0.4932355662165453,7
142,57,17,1,0.4907693883854626,3
143,47,18,1,0.4883155414435353,4
144,69,14,1,0.4858739637363176,2
145,5,24,1,0.483444593917636,8
146,71,12,1,0.4810273709480478,2
147,79,13,1,0.47862223409330756,1
148,59,15,1,0.47622912292284103,3
149,37,19,1,0.4738479773082268,5
150,59,15,1,0.47147873742168567,3
151,47,18,1,0.46912134373457726,4
152,23,24,1,0.46677573701590436,6
153,57,17,1,0.46444185833082485,3
154,69,14,1,0.46211964903917074,2
155,69,14,1,0.4598090507939749,2
156,59,15,1,0.457510005540005,3
157,19,28,1,0.45522245551230495,6
158,61,13,1,0.4529463432347434,3
159,79,13,1,0.4506816115185697,1
160,81,11,1,0.4484282034609769,1
161,79,13,1,0.446186062443672,1
162,79,13,1,0.4439551321314536,1
163,51,23,1,0.4417353564707963,3
164,71,12,1,0.43952667968844233,2
