episode,reward,steps,success,epsilon,invalid_moves,loss
36,-263,76,1,0.8348931673187264,32,0.1157053090581413
37,-497,100,0,0.8307187014821328,42,0.1235304920899216
38,21,26,1,0.8265651079747222,6,0.10462976900789027
39,-145,66,1,0.8224322824348486,20,0.14108676026984485
40,-283,87,1,0.8183201210226743,33,0.12103778734567693
41,-524,100,0,0.8142285204175609,46,0.9383202456263825
42,-542,100,0,0.810157377815473,48,0.6082785656745545
43,9,29,1,0.8061065909263957,7,0.529069848182001
44,-75,59,1,0.8020760579717637,13,0.4508269810338773
45,-488,100,0,0.798065677681905,41,0.5722873858641833
46,-515,100,0,0.7940753492934954,44,0.4674354932783171
47,-67,51,1,0.7901049725470279,13,0.3261055043332425
48,-239,70,1,0.7861544476842928,30,0.36306182040965984
49,-443,100,0,0.7822236754458713,36,0.29972769306623376
50,-452,100,0,0.778312557068642,38,0.3494867758685723
51,-488,100,0,0.7744209942832988,41,0.3268032863806002
52,25,22,1,0.7705488893118823,6,0.2391197154806419
53,-371,100,0,0.7666961448653229,28,0.2787822349218186
54,-231,62,1,0.7628626641409962,30,0.3526620898253074
55,-461,100,0,0.7590483508202912,39,0.25886395191249906
56,-103,69,1,0.7552531090661897,15,0.2359101718959763
57,-209,85,1,0.7514768435208588,25,0.22726888274500037
58,-506,100,0,0.7477194593032545,44,0.20686193863861263
59,-75,50,1,0.7439808620067382,14,0.16544821290299297
60,-225,83,1,0.7402609576967045,27,0.10083492176820445
61,-285,80,1,0.736559652908221,34,1.636770542128943
62,25,31,1,0.7328768546436799,5,1.7224554943461572
63,-381,95,1,0.7292124703704616,43,1.3424169609029042
64,-257,88,1,0.7255664080186093,30,1.372295073016589
65,-506,100,0,0.7219385759785162,43,1.1446025594230742
66,-452,100,0,0.7183288830986236,37,0.997126871868968
67,-349,99,1,0.7147372386831305,39,0.82627211276423
68,-69,35,1,0.7111635524897149,15,0.9087917269939291
69,-3,32,1,0.7076077347272662,8,0.9485871501965448
70,-91,57,1,0.7040696960536299,15,0.853792021655592
71,-33,44,1,0.7005493475733617,10,0.9858265415744178
72,1,28,1,0.697046600835495,8,0.8453089794742742
73,-605,100,0,0.6935613678313175,54,0.7523009042302147
74,-157,78,1,0.6900935609921609,20,0.731102652525386
75,-135,56,1,0.6866430931872001,20,0.700133240291117
76,3,35,1,0.6832098777212641,7,0.4872315290783133
77,-434,100,0,0.6797938283326578,35,0.7738782799220644
78,19,19,1,0.6763948591909945,7,0.7094381891779209
79,-81,56,1,0.6730128848950395,14,0.631987562843798
80,27,20,1,0.6696478204705644,6,0.7325502681080251
81,67,16,1,0.6662995813682115,2,3.555418200790882
82,-25,36,1,0.6629680834613705,10,2.6458902549412517
83,-49,42,1,0.6596532430440636,12,2.5670116577474844
84,69,14,1,0.6563549768288433,2,2.8089021742343903
85,-175,96,1,0.653073201944699,20,2.3108679923655777
86,-75,59,1,0.6498078359349755,13,1.7525763928148328
87,-167,79,1,0.6465587967553006,21,1.7460615942844107
88,-257,79,1,0.6433260027715241,31,1.7401814615424676
89,-87,44,1,0.6401093727576664,16,1.5017691492526368
90,-259,99,1,0.6369088258938781,29,1.552790127167798
91,37,19,1,0.6337242817644086,5,1.1397839345430072
92,-53,46,1,0.6305556603555866,12,0.9789242838387904
93,-515,100,0,0.6274028820538087,45,0.8389186782389879
94,17,30,1,0.6242658676435396,6,0.4569881069163481
95,19,19,1,0.6211445383053219,7,0.6195887178182602
96,-65,49,1,0.6180388156137953,13,0.6272356554067561
97,23,24,1,0.6149486215357263,6,0.6362842861562967
98,9,29,1,0.6118738784280476,7,0.4917548021365856
99,-83,49,1,0.6088145090359074,15,0.4309986021597775
100,25,22,1,0.6057704364907278,6,0.41522899295457383
101,77,15,1,0.6027415843082742,1,5.141255315144857
102,-265,96,1,0.5997278763867329,30,3.2926778147617974
103,-161,73,1,0.5967292370047992,21,2.6481950895937336
104,-49,51,1,0.5937455908197752,11,2.0565118708593
105,-33,44,1,0.5907768628656763,10,2.3007766340266573
106,77,15,1,0.5878229785513479,1,1.688259842991829
107,15,23,1,0.5848838636585911,7,1.7210531791915065
108,-7,36,1,0.5819594443402982,8,1.6512976690816383
109,-177,80,1,0.5790496471185967,22,1.465871405042708
110,-89,46,1,0.5761543988830038,16,1.2278942815635516
111,-1,39,1,0.5732736268885887,7,1.0136532863745322
